"","logFC","logCPM","F","PValue","FDR"
"col10a1b",-4.85360969411376,4.92667173386898,42.9810160001161,1.68667803277029e-05,0.00370893773654746
"fat2",-2.18944331425362,5.64856166885686,40.059310855702,1.70580380220076e-05,0.00370893773654746
"pkmb",-2.20257150470327,7.8923665584038,40.0254672102641,1.73912423265361e-05,0.00370893773654746
"LOC108251430",-2.05400623614037,7.78747021882188,39.6939690178198,1.79175277095684e-05,0.00370893773654746
"LOC108232031",1.3032811885997,6.20653579102674,39.6254947731981,1.80840602891102e-05,0.00370893773654746
"rab44",-3.20056151815429,5.965209497489,40.4261451334425,1.82524910853759e-05,0.00370893773654746
"si:ch211-207d6.2",-3.13616293076284,4.12955400511757,39.6772612499572,1.83726356269753e-05,0.00370893773654746
"rhov",-2.24360360652815,3.42133065957573,39.5018111021632,1.8389361164817e-05,0.00370893773654746
"elovl7a",-1.5684586777086,6.05270881495483,39.4996378249484,1.83947780153457e-05,0.00370893773654746
"gngt1",-5.28012836958306,4.71032606532619,42.5480936949603,1.8423225280756e-05,0.00370893773654746
"tnk1",-1.55427194002614,5.02747836592114,39.4831058630874,1.84360432565812e-05,0.00370893773654746
"rlbp1b",-3.1409809739223,4.06269532408989,39.4807334752033,1.88155354434539e-05,0.00370893773654746
"gnat2",-7.72861462193711,5.46805648249798,47.4994968372962,1.89928538513218e-05,0.00370893773654746
"LOC108248404",-1.85170497175044,3.87961703197402,39.0956633811669,1.94340512427762e-05,0.00370893773654746
"cav1",-1.55911570904455,6.77925221342699,39.0751379805421,1.94886177844226e-05,0.00370893773654746
"LOC108238848",-2.91269638078323,7.88401131480515,39.9256859799493,1.94924445549415e-05,0.00370893773654746
"LOC108248523",-2.93455694996068,11.326318538791,39.8310206631043,1.95541092790018e-05,0.00370893773654746
"nectin4a",-2.46647078258637,4.69782541501519,39.0177433478924,1.96421310266533e-05,0.00370893773654746
"gjb10",-1.70501744116817,4.59113992645629,38.9908287947823,1.97145942074141e-05,0.00370893773654746
"tspan9b",-1.60133902879732,8.04104405400881,38.8362158671743,2.01368219501155e-05,0.00375542974229676
"ltb4r2a",-2.21322115756924,5.38278789885033,38.6395989232905,2.0688743530753e-05,0.00382509898710397
"pvalb7",-2.13706443162002,6.82003979002516,38.4889771931203,2.13213032463954e-05,0.00390835889508925
"LOC108243773",-1.52817011003884,5.94458956301837,38.2591923551562,2.18063171991907e-05,0.00396339055060205
"LOC108250046",-1.93082198558841,3.48159410881406,37.997597583658,2.26148326659919e-05,0.00407580097636578
"LOC108251414",-2.64011239960422,4.08169992459929,37.9022624149477,2.29179509451911e-05,0.00409601078267929
"otx2b",2.30846524191254,4.4220626906552,37.8266109004024,2.31617864872249e-05,0.00410537879992985
"lpar3",-1.81954302420811,3.72882679747044,37.7284013223645,2.34827585505377e-05,0.00412815346420806
"LOC108248354",-1.92470287897001,9.1132751283912,37.5895779655124,2.39451623482971e-05,0.00412932062699083
"ebf2",2.32077536303645,4.59628849466875,37.4573955378589,2.43951255024484e-05,0.00412932062699083
"slc25a4",-1.94207023963109,8.0138922267152,37.3971063213014,2.46035550313736e-05,0.00412932062699083
"capn9",-1.4218738527804,6.70394629986491,37.3741569387116,2.46834281719262e-05,0.00412932062699083
"LOC108239528",-1.25732355231146,6.88507711137043,37.3707980714561,2.46951431942602e-05,0.00412932062699083
"LOC108245850",-1.83314129736126,11.4957106583853,37.3515254408563,2.47624848471552e-05,0.00412932062699083
"fam83c",-1.7295561036875,4.08649121795285,37.3302266161104,2.48371502252911e-05,0.00412932062699083
"zgc:110333",-1.60047776432011,5.03766944114149,37.2559424022258,2.50995795961422e-05,0.00414085141229587
"LOC108246696",-1.5806671558424,7.20510136237958,37.0817154711496,2.57275920155917e-05,0.00417143914365414
"LOC108245276",-2.29055066695772,3.53480910412277,37.0663127867956,2.57839693778833e-05,0.00417143914365414
"LOC108239874",-1.61729233065072,11.4923655761122,37.0432942757066,2.58684853875134e-05,0.00417143914365414
"LOC108242575",-2.61872571507822,5.74023135257408,37.4082738256754,2.66395654487869e-05,0.00426372209089651
"LOC108231628",-1.95265308513861,4.60333466442598,36.365684460646,2.85039665039893e-05,0.00450169227743268
"ahnak",-1.46166732708701,10.4260464142053,36.3341439800622,2.86339086847452e-05,0.00450169227743268
"rbp3",-4.51744399882042,3.36523783807622,36.828759499171,2.88923671448929e-05,0.00450169227743268
"LOC108233353",2.12404534520852,3.10570477963154,36.2343578096076,2.90494873802748e-05,0.00450169227743268
"oclna",-1.72260608071803,5.36649806283148,36.2043305204703,2.91758859776725e-05,0.00450169227743268
"fzd3a",1.58897559071953,5.25702132957172,36.153605948947,2.93908372538585e-05,0.00450246633273931
"LOC108250813",3.0070326254692,2.77267090127631,36.0192854102952,2.99688198197259e-05,0.00455844878491958
"gucy2d",-5.15067529591278,2.63209257560181,36.0548819076512,3.11587073787281e-05,0.00467850027062274
"cdhr1a",-7.84993765986831,3.12248840544057,36.6715858978057,3.11943646523547e-05,0.00467850027062274
"si:ch211-113d22.2",-7.18878139488119,2.10356182402779,35.954420845446,3.16131855395992e-05,0.00470838882130405
"crybg2",-1.39521193391829,6.19977179283035,35.5513731852559,3.20859833654032e-05,0.00472291886733983
"LOC108234308",-1.93790375753166,5.96271748618046,35.4998650424819,3.23293003517763e-05,0.00472291886733983
"LOC119617699",-7.19191672204942,2.43539462798178,36.0401961579078,3.25314614554885e-05,0.00472291886733983
