"","logFC","logCPM","F","PValue","FDR"
"zgc:101810",-1.49998792907964,7.0906015347584,23.1449433464585,0.000262734256926792,0.0619736431456997
"il12bb",-2.88931124616547,5.75664719525962,24.0307350859499,0.000265584956921419,0.0619736431456997
"LOC108229317",-1.19444903442439,7.00900511409415,23.0652626045166,0.000266906316127551,0.0619736431456997
"LOC108247812",-1.29930383846198,7.5616587530829,22.9401406297053,0.000273611355323642,0.0619736431456997
"metap2a",-0.976102733240709,8.21947910676453,22.9338084245285,0.000273955768276015,0.0619736431456997
"aspa",-1.99576706053925,4.09025109464507,22.9039371390883,0.000275587182224884,0.0619736431456997
"rbbp4",1.22025737647196,6.32203454671205,22.9007547274084,0.000275761642308422,0.0619736431456997
"slc38a9",-1.34709139663054,4.77524034336945,22.8633991447966,0.000277818940701299,0.0619736431456997
"LOC108231218",-1.91972941729836,3.70053580683087,22.8152995996159,0.000280493823878602,0.0619736431456997
"egln2",-1.84577778067498,4.53090929246618,22.7674756964786,0.000283182590958109,0.0619736431456997
"cpsf1",1.17643586573027,5.92845550804806,22.7122449149299,0.000286324506260332,0.0620282998562155
"pof1b",-1.43746619617646,7.56589868646788,22.5515734523486,0.000295693533218179,0.0629566821015265
"LOC108243909",-2.0280198499359,4.50948387125185,22.5583057106175,0.000296954158032035,0.0629566821015265
"ppp1r13l",-1.21214150727759,6.28775692202848,22.4043105189102,0.000304589427300251,0.0629566821015265
"LOC108244500",-1.96906911346354,5.00407626368598,22.4526606048957,0.000305672488055729,0.0629566821015265
"nfil3-6",-1.84904860849743,3.8799238447886,22.3823089822776,0.000305944585519013,0.0629566821015265
"dtna",-0.97938619098029,6.55535315413474,22.3234575864658,0.000309603457185434,0.0629566821015265
"LOC108249343",-1.84815060856803,6.13965412775411,22.4352716678923,0.000311264960040676,0.0629566821015265
"gabarapl2",-1.31747082822006,6.37388815000792,22.2501331102056,0.00031423230423907,0.0629566821015265
"gtf3aa",2.32611234630486,2.54242652116424,22.2064264061519,0.000317029032823465,0.0629566821015265
