"","logFC","logCPM","F","PValue","FDR"
"LOC108250013",-5.38718831349877,2.3634097750313,20.2157414664191,0.000510284333064566,0.0875525447298859
"cldn11b",-1.82701291500386,3.15345091820746,19.8608726924373,0.000518926448568958,0.0875684700163958
"gabra6a",-5.93573015697928,1.00094601287029,19.8589329709435,0.000519145600397568,0.0875684700163958
"LOC108244392",-7.37282460127296,6.46439405364416,23.3465359400821,0.000522626202363904,0.0875684700163958
"mybpha",-3.21792871609748,4.22697991099948,20.1998939739161,0.000534450074337314,0.0886767024308511
"lrit2",-3.82110807130481,2.58866692038478,19.8013976084966,0.000538713707560921,0.0886767024308511
"uspl1",0.907459337314931,6.46738070850666,19.6646275452777,0.000541644426653681,0.0886767024308511
"LOC108235503",-4.39013255433573,5.18689447448093,21.7099025075419,0.000575633846714395,0.093325984971514
"cplx4a",-3.5935398966303,4.83950388347688,20.5087640233647,0.000578745558875897,0.093325984971514
"zgc:103625",-4.31141491542414,1.66315402237687,19.2476908113141,0.000593789837320187,0.093373511577376
"slc4a4a",-1.34280548174827,5.55727019278993,19.2341176019193,0.000595581467214639,0.093373511577376
"pgam2",-1.31061959631581,7.15059717922371,19.1969689279539,0.000600516694610904,0.093373511577376
"LOC108243560",-3.95771151424457,2.50131096603454,19.2634762196234,0.000608265353019152,0.093373511577376
"usp21",-3.02492802761954,2.37437847036032,19.1226582478405,0.000610529916458017,0.093373511577376
"LOC108230347",-1.33360219688788,9.74271294456654,19.1192839913399,0.000610989102486079,0.093373511577376
"opn1lw1",-7.32479732364111,6.56995435059051,22.3491530432585,0.0006182407912351,0.093373511577376
"casq1b",-2.05325146650917,6.78166213760728,19.2950808256899,0.000622102861903584,0.093373511577376
"slc6a5",-1.30201874399421,6.04995015128135,19.0356909338618,0.000622491937704329,0.093373511577376
"best4",-3.52893816817426,2.2365438005809,19.036797284531,0.000622577150909907,0.093373511577376
"hoxd12a",2.93184380693916,3.05768656275818,19.0330960766145,0.000629835712732056,0.0938061564650306
"slc25a37",2.55965331563135,5.46979908223337,19.4922097985985,0.000637766000935892,0.0943321891177385
"ckmt2a",-1.51524162918689,5.84040862249042,18.9151822690739,0.000642491273140555,0.0943802077742841
"LOC108232588",-2.48460790473141,1.26617828289711,18.809349112184,0.000654901509461568,0.09554879369675
"si:dkey-32e6.6",-3.82029938076785,1.92440413068525,18.7399622112593,0.000666529995034532,0.0964247977344475
"LOC108235814",-1.53562796165044,4.40003182964375,18.6990066498246,0.000671398226723345,0.0964247977344475
"kcnb1",-1.75679686349299,4.46587439515137,18.6721179447374,0.000675489901535861,0.0964247977344475
"gngt2b",-5.13635635195273,5.91046647686277,21.7072272187674,0.000678889563011217,0.0964247977344475
"tpm2",-1.26620948272181,8.05316430991746,18.6030715409286,0.000686128031674497,0.0968117624692298
"LOC108245336",-2.40615114625521,2.71893200369243,18.5175599488364,0.000699569608399697,0.0970768416640285
"LOC108250107",-1.06301509880975,6.22393370182438,18.4566945102206,0.000709320594831908,0.0970768416640285
"cldnk",-1.69214681394211,2.85703139464211,18.4563752029064,0.00070937215793531,0.0970768416640285
"LOC108229248",-4.78516100493392,0.176816909278235,18.4363046833697,0.000712621850972476,0.0970768416640285
"mylpfa",-1.70706963517321,9.15902720954889,18.5712978850937,0.000717482474119024,0.0970768416640285
"LOC108248653",-4.37730559897048,3.24644865418887,18.6465824820046,0.000717817801408775,0.0970768416640285
"impdh1a",-5.72476421623652,1.43144676476587,18.4081754019852,0.000724954969539876,0.0970768416640285
"LOC108229165",-3.46946412672361,1.86895869591885,18.3109211056581,0.00073331287449487,0.0970768416640285
"znf385b",-2.09991720476953,3.4655957300386,18.3014093903955,0.000734910351405217,0.0970768416640285
"si:ch211-198m17.1",-1.86042161753909,2.74720923315414,18.2992748319785,0.000735269393588715,0.0970768416640285
"gabrb1",-2.92040253686433,1.55805146652249,18.2842834502282,0.000737796670454453,0.0970768416640285
"lrrc7",-1.85042142571595,4.69432709651521,18.3025074602661,0.000746598984185348,0.0973327916825007
"gdpd2",-1.18419041389396,4.59952084883281,18.219583455998,0.000748818512034906,0.0973327916825007
"LOC108236971",0.811246201242762,9.47091650060143,18.1635537335197,0.000758515705640139,0.0979993152943619
"atp2b2",-1.79062494620364,5.15921731557266,18.1709513803395,0.000774282831357043,0.0986010630526465
"pvalb8",-2.53484414180388,3.51657110618555,18.1380364755756,0.000780130016274638,0.0986010630526465
"ubtd1a",-2.64139797148493,2.66186576217608,18.0240887643886,0.000783283336410675,0.0986010630526465
"STRG.22222",-4.01028129701945,12.9521799342766,20.1911259073283,0.000789968990098843,0.0986010630526465
"LOC108250929",-4.13873936069468,4.19785000854181,19.1822340603866,0.000793030528032912,0.0986010630526465
"cdhr5a",-2.08354632053383,1.80971687592755,17.9345598289005,0.00079967019109901,0.0986010630526465
"hmmr",1.11192411409899,4.06997631521404,17.9069534912407,0.000804801946044055,0.0986010630526465
"LOC108239465",-1.25225526946013,5.60021604679142,17.901803008215,0.000805763535990635,0.0986010630526465
"trpc4b",-4.67279400797462,0.393004770358658,17.894408043873,0.000807146467359103,0.0986010630526465
"LOC108234545",-2.20980785976412,3.94482323222464,17.9596855315926,0.000809147530995747,0.0986010630526465
"LOC108242098",-3.00392149468692,2.50829783076958,17.8414950552037,0.000817121316237665,0.0990020477149626
"hoxc12a",1.71107182985706,4.30646425744213,17.817608722149,0.000821670373164701,0.0990020477149626
"pcp4b",-1.43165719647853,5.75898722268321,17.7821143712832,0.00082870074528569,0.0990323136469997
"lzts1",1.23438899804891,4.64676909202591,17.7490195180258,0.00083489479795853,0.0990323136469997
"LOC108248113",-3.85181990967884,2.29025094377615,17.8194459794327,0.000835774176812932,0.0990323136469997
"mybpc2b",-1.46481571496269,9.50627004953698,17.6455239171999,0.00086097692043872,0.101458087981589
"pax3b",0.983186604538077,5.67408517673993,17.5683261667477,0.000870915246277002,0.101775239214121
"LOC108251113",-1.31831260203679,4.33939673810061,17.5413260257692,0.00087644885431266,0.101775239214121
"cntnap1",-1.91514630552793,4.3436686512752,17.5719096116172,0.000879111810622906,0.101775239214121
"zgc:113337",-2.01374931650777,3.75639892947566,17.5112995556433,0.000882649997380822,0.101775239214121
"scn4ab",-1.72086561352147,5.04018715791696,17.5548214182609,0.000888797971839283,0.101832244841719
"LOC108233481",-6.11506564716228,1.63509090211512,17.6269436583706,0.000892640557198825,0.101832244841719
"LOC108249838",-1.73324285431305,4.2522119366588,17.4043527881837,0.000905148312776104,0.102712782349784
"ehmt1a",1.02673565140781,4.75377196608469,17.3476540454141,0.000917341724185605,0.103057590036033
"LOC108232977",-2.67671325733117,3.76732257310507,17.5210527046067,0.000917797346802926,0.103057590036033
"es1",-4.9470460145342,7.30680702502808,20.0771231630064,0.000925344349761216,0.103363855569421
"LOC108229317",-1.03080458853176,7.00900511409415,17.2516756520877,0.000938413346690046,0.104280575370266
"gabra6b",-3.59167439106315,2.35942051856153,17.2980458161155,0.000944644070283076,0.104431862759593
"mcm8",0.958624516857038,4.08901871040825,17.1679369427274,0.00095725109748257,0.105140750559667
"LOC108239553",1.18305680049781,5.25620681499746,17.1521050411903,0.000960861057942589,0.105140750559667
"LOC108240026",-6.64737576651497,-0.230393609870349,20.8002781044164,0.000972884450407296,0.105375319211369
"LOC108239294",-2.34222319720867,13.0132228075441,17.620920224196,0.000973567301599323,0.105375319211369
"phospho1",-1.72497527029096,5.27315779770038,17.1549414124892,0.000980484408389373,0.105375319211369
"nudt5",1.03547365999299,4.60375250955093,17.0505767987348,0.000984385060584391,0.105375319211369
"LOC108228711",-2.00069218703875,2.97510025810866,17.0370393867576,0.000987571182985278,0.105375319211369
"gab3",-2.53116519380988,1.22988378786075,17.0103314192744,0.000993891753449295,0.105462085509622
"si:ch211-235m3.5",1.28204434804667,3.56191500026253,16.975907324431,0.00100210677967455,0.105462085509622
"LOC108229271",-3.87986886081609,5.76362355766012,18.9064404502998,0.00100362725412567,0.105462085509622
"LOC108247487",-6.1257096730376,3.02223995086953,17.6928055405574,0.00100805369186705,0.105462085509622
"slc24a2",-3.05555172353412,1.72716331602208,16.9237110430228,0.00101471166343178,0.105643306046705
"kdm5ba",0.855636617102331,7.54518756186016,16.8899328820314,0.00102296543905255,0.105796067788697
"LOC108237059",-3.51903533479019,2.72467878450963,17.0316212314681,0.00102604476617005,0.105796067788697
"cdk5r2b",-1.97159769402595,4.04434469343759,16.8628019281453,0.00103612952425429,0.106245780306426
"LOC108240069",-3.06781074073587,5.15824904348285,17.692469507424,0.00104031397698277,0.106245780306426
"LOC108237321",-3.47358567586418,3.86217612393786,17.2791371210841,0.00106120594665496,0.107865800653596
"osbpl7",-4.62250501825407,2.82567293261898,17.0294842891802,0.00107400610813548,0.108216464900592
"bcan",-1.82086831903167,4.64397139137197,16.7523308796462,0.00107474737836649,0.108216464900592
"cep131",0.837966778736675,5.40520017151585,16.6200722937399,0.00109173734917039,0.109413509007745
"LOC108249448",-5.34786621910009,1.99748502444668,16.6995265213134,0.00111373745716322,0.110067675092444
"LOC108244621",-1.63854654724576,3.97474369372849,16.5194404167571,0.00111872593922961,0.110067675092444
"LOC108232834",-2.3093120529534,2.98327206324693,16.4919109230544,0.00112624157822169,0.110067675092444
"LOC108247219",-3.63003383053288,1.60787164940859,16.4840328393749,0.0011284029428174,0.110067675092444
"slc7a10a",-1.1685544054282,4.04275143386834,16.4649631193899,0.00113365443221979,0.110067675092444
"LOC108234751",1.05653946743595,4.47688084084594,16.4633731207933,0.00113409355374113,0.110067675092444
"tmem205",1.30185984426733,5.46849336598366,16.4471016076854,0.00113859858419067,0.110067675092444
"LOC112450744",-3.43284269177577,2.91656397388005,16.5919716766597,0.00113932129764175,0.110067675092444
"gabrg1",-2.0697943195573,2.61664579349453,16.4023191211012,0.001151103471072,0.110483580761499
"LOC112450205",-2.45196273026963,2.25643560826012,16.3687117592846,0.00116059114642041,0.110483580761499
"LOC108249843",0.898488996142009,5.24314075976787,16.3575238738674,0.00116376942619507,0.110483580761499
"slc1a7a",-2.89232930444575,2.28027822646199,16.3558975713165,0.0011642322586888,0.110483580761499
"slc4a5b",-1.68684722877712,3.37210206084071,16.3291207916603,0.00117188308548711,0.110719720416044
"LOC108248132",-2.23770172552376,2.69235891385757,16.2751671045784,0.00118747453163733,0.11130265220542
"aspn",-2.09029153765273,4.5909424028289,16.429127266659,0.0011884322914646,0.11130265220542
"kcnab1b",-1.85085421835666,2.42192881512712,16.1949399394433,0.00121109953410746,0.112252352422909
"meis3",0.906562007711936,5.73214247746947,16.1780499325113,0.00121614153293784,0.112252352422909
"ppm1h",0.987654838568495,6.09435670647626,16.1709707959584,0.00121826193674691,0.112252352422909
"LOC112451084",-3.3402655093161,2.41376087656192,16.2301204700292,0.00122446697914133,0.112252352422909
"LOC108240262",-6.19460054332089,0.840107332204997,17.4487369509953,0.00122474240998558,0.112252352422909
"mybl2b",1.21613834601243,4.9496474258893,16.1044119250873,0.00123840652498672,0.113021722303788
"ptgdsb.1",2.16157760527446,5.25992834064072,16.143196006578,0.00128868220620422,0.115745835098259
"LOC108229843",1.07538352367771,5.69941519806882,15.9216775071453,0.00129570235585006,0.115745835098259
